종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"099220","SDN","KOSDAQ","중견기업부","1348","-13","-0.96","1370","1370","1330","438302","588101353","87544983800","64944350"
"036540","SFA반도체","KOSDAQ","우량기업부","3110","-40","-1.27","3135","3140","3060","265950","824311561","511471542330","164460303"
"255220","SG","KOSDAQ","중견기업부","2125","35","1.67","2095","2140","2050","784058","1651970493","209673597000","98669928"
"040610","SG&G","KOSDAQ","중견기업부","1925","2","0.10","1926","1937","1894","192899","370634039","65617852300","34087196"
"049470","SGA","KOSDAQ","중견기업부","434","-6","-1.36","436","440","418","173039","74245227","25546216066","58862249"
"184230","SGA솔루션즈","KOSDAQ","벤처기업부","595","-6","-1.00","600","603","570","254897","150266826","46305137200","77823760"
"016250","SGC E&C","KOSDAQ","중견기업부","16430","-60","-0.36","16810","16930","16170","5666","92567105","82757679980","5036986"
"005090","SGC에너지","KOSPI",,"25250","250","1.00","25300","25350","24750","26811","670229700","363835658250","14409333"
"001380","SG글로벌","KOSPI",,"1695","1","0.06","1694","1703","1665","175335","295004584","76214222385","44964143"
"004060","SG세계물산","KOSPI",,"349","-4","-1.13","354","355","345","640629","223738017","70646311040","202424960"
"001770","SHD","KOSPI",,"18240","180","1.00","18060","18240","17880","3934","70672520","22159374720","1214878"
"002360","SH에너지화학","KOSPI",,"473","9","1.94","465","479","461","459382","216473277","52566254290","111133730"
"009160","SIMPAC","KOSPI",,"4915","-45","-0.91","4975","4975","4880","84753","416099970","321586071140","65429516"
"033530","SJG세종","KOSPI",,"4630","5","0.11","4635","4695","4525","35544","163395200","128811049430","27820961"
"123700","SJM","KOSPI",,"3440","60","1.78","3380","3550","3370","53632","183008963","53680849120","15604898"
"025530","SJM홀딩스","KOSPI",,"3675","25","0.68","3690","3690","3610","16963","61799160","54882479400","14934008"
"034730","SK","KOSPI",,"212500","-11500","-5.13","223000","223000","205000","498445","106028297250","15406824387500","72502703"
"357880","SKAI","KOSDAQ","기술성장기업부","2545","-70","-2.68","2665","2665","2480","966177","2441163214","86652040385","34047953"
"011790","SKC","KOSPI",,"105100","600","0.57","104800","106200","104000","159488","16758761500","3979958119800","37868298"
"018670","SK가스","KOSPI",,"279500","5000","1.82","280500","282000","272500","17227","4793586750","2584045698000","9245244"
"001740","SK네트웍스","KOSPI",,"4690","45","0.97","4720","4720","4615","475479","2216411271","1037793360380","221277902"
"006120","SK디스커버리","KOSPI",,"59900","-2000","-3.23","61900","62000","58000","137015","8019599900","1099036514500","18347855"
"006125","SK디스커버리우","KOSPI",,"43500","-800","-1.81","44450","44450","42900","4778","207275200","57091792500","1312455"
"210980","SK디앤디","KOSPI",,"9860","-90","-0.90","10030","10030","9710","27067","265484565","183567386520","18617382"
"395400","SK리츠","KOSPI",,"4660","10","0.22","4650","4665","4630","124399","579251453","1287039686840","276188774"
"302440","SK바이오사이언스","KOSPI",,"48500","100","0.21","48750","49450","48050","86799","4230665475","3800903532500","78369145"
"326030","SK바이오팜","KOSPI",,"92000","-400","-0.43","93000","95300","91400","233453","21695836450","7204819000000","78313250"
"402340","SK스퀘어","KOSPI",,"177800","-7200","-3.89","176700","179200","170800","487646","85334364900","23565764552400","132540858"
"260870","SK시그넷","KONEX","일반기업부","12700","200","1.60","12800","12840","12420","3327","42123020","235836460000","18569800"
"361610","SK아이이테크놀로지","KOSPI",,"27800","200","0.72","27300","27950","27100","104638","2882887075","1982073057600","71297592"
"100090","SK오션플랜트","KOSPI",,"20050","660","3.40","19500","20300","19010","888089","17560003740","1206615736800","60180336"
"03473K","SK우","KOSPI",,"171600","-5900","-3.32","175000","177300","165000","8946","1513400700","97148766000","566135"
"096770","SK이노베이션","KOSPI",,"118400","-8100","-6.40","121200","122700","115000","1038805","122387858500","17882517478400","151034776"
"096775","SK이노베이션우","KOSPI",,"81000","-1600","-1.94","80600","82600","77700","6944","551490200","101122506000","1248426"
